IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.43.79,8443,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,25974 kB/s
47.242.119.104,2083,TRUE,HKG,Asia Pacific,Hong Kong,95 ms,24216 kB/s
8.218.142.253,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,19774 kB/s
47.238.35.50,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,19640 kB/s
8.210.39.96,8443,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,18168 kB/s
47.238.40.58,8443,TRUE,HKG,Asia Pacific,Hong Kong,79 ms,17919 kB/s
8.217.85.14,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,17114 kB/s
47.242.125.241,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,17071 kB/s
47.242.107.109,2083,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,17026 kB/s
8.210.34.188,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,16324 kB/s
47.76.29.115,2096,TRUE,HKG,Asia Pacific,Hong Kong,80 ms,15984 kB/s
47.76.33.40,2053,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,15709 kB/s
47.243.169.63,2096,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,15001 kB/s
8.210.101.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,14417 kB/s
8.218.142.253,2053,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,14355 kB/s
47.242.119.104,8443,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,14351 kB/s
47.76.178.146,2053,TRUE,HKG,Asia Pacific,Hong Kong,90 ms,14160 kB/s
47.242.79.71,8443,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,14139 kB/s
47.76.29.115,2053,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,14124 kB/s
8.217.127.73,2087,TRUE,HKG,Asia Pacific,Hong Kong,88 ms,14069 kB/s
8.218.53.110,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,13808 kB/s
47.242.79.71,2053,TRUE,HKG,Asia Pacific,Hong Kong,109 ms,13660 kB/s
47.242.252.237,2083,TRUE,HKG,Asia Pacific,Hong Kong,82 ms,13655 kB/s
8.210.43.213,2096,TRUE,HKG,Asia Pacific,Hong Kong,72 ms,13003 kB/s
47.238.40.58,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,12837 kB/s
8.210.207.214,2053,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,12535 kB/s
47.76.26.26,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,12406 kB/s
8.218.173.78,2083,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,12339 kB/s
47.242.36.78,2083,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,12326 kB/s
47.242.17.250,2083,TRUE,HKG,Asia Pacific,Hong Kong,87 ms,12249 kB/s
8.210.245.224,2053,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,12186 kB/s
8.218.1.163,2083,TRUE,HKG,Asia Pacific,Hong Kong,70 ms,12161 kB/s
8.218.53.110,2083,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,24783 kB/s
8.218.1.163,2053,TRUE,HKG,Asia Pacific,Hong Kong,92 ms,22805 kB/s
8.218.143.10,2096,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,22487 kB/s
8.217.85.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,22363 kB/s
47.76.178.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,21230 kB/s
47.242.183.7,2083,TRUE,HKG,Asia Pacific,Hong Kong,121 ms,17735 kB/s
8.217.147.230,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,17148 kB/s
47.242.119.104,8443,TRUE,HKG,Asia Pacific,Hong Kong,92 ms,16559 kB/s
8.210.21.65,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,16257 kB/s
47.76.192.24,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,15964 kB/s
8.210.244.38,2053,TRUE,HKG,Asia Pacific,Hong Kong,82 ms,15297 kB/s
47.242.17.250,2096,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,15208 kB/s
8.210.119.11,2087,TRUE,HKG,Asia Pacific,Hong Kong,67 ms,15050 kB/s
8.210.65.1,2087,TRUE,HKG,Asia Pacific,Hong Kong,92 ms,15032 kB/s
8.210.34.188,8443,TRUE,HKG,Asia Pacific,Hong Kong,83 ms,14964 kB/s
8.210.175.109,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,14523 kB/s
8.210.101.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,14513 kB/s
47.76.227.128,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,14426 kB/s
8.210.146.108,2083,TRUE,HKG,Asia Pacific,Hong Kong,55 ms,14421 kB/s
47.238.43.79,2096,TRUE,HKG,Asia Pacific,Hong Kong,78 ms,14393 kB/s
47.76.26.26,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,14387 kB/s
47.242.36.78,2096,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,14302 kB/s
47.242.125.241,2087,TRUE,HKG,Asia Pacific,Hong Kong,91 ms,14124 kB/s
47.76.29.115,2096,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,13735 kB/s
47.242.176.237,2083,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,13713 kB/s
47.238.35.50,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,13693 kB/s
47.242.119.104,2083,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,13609 kB/s
47.242.155.183,2083,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,13155 kB/s
47.76.98.98,2053,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,13051 kB/s
47.242.17.250,2083,TRUE,HKG,Asia Pacific,Hong Kong,85 ms,13034 kB/s
8.217.147.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12903 kB/s
47.242.176.237,2096,TRUE,HKG,Asia Pacific,Hong Kong,83 ms,12734 kB/s
8.210.119.11,2083,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,12478 kB/s
47.243.139.243,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,12403 kB/s
8.218.53.110,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,12384 kB/s
8.217.248.220,2096,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,12231 kB/s
8.217.127.73,2087,TRUE,HKG,Asia Pacific,Hong Kong,102 ms,12210 kB/s
8.218.98.75,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,12029 kB/s
8.217.159.210,2083,TRUE,HKG,Asia Pacific,Hong Kong,93 ms,12007 kB/s
